name,version,platform,vdpx,framework_version,python_version,min_vam_version
kk_wind_solutions.m_system_mk1,1.1.6,linux_x86_64,kk_wind_solutions.m_system_mk1-1.1.6-linux_x86_64._vdpx,2.7.5,3.9,1.38
koyo.dl205,1.1.9,win_amd64,koyo.dl205-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
koyo.dl205,1.1.9,linux_x86_64,koyo.dl205-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
lantronix.device_installer,1.1.13,win_amd64,lantronix.device_installer-1.1.13-win_amd64._vdpx,2.7.5,3.9,1.38
lantronix.device_installer,1.1.13,linux_x86_64,lantronix.device_installer-1.1.13-linux_x86_64._vdpx,2.7.5,3.9,1.38
lantronix.eds,1.1.11,linux_x86_64,lantronix.eds-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
lantronix.eds,1.1.11,win_amd64,lantronix.eds-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
lantronix.managed_switches,1.1.2,linux_x86_64,lantronix.managed_switches-1.1.2-linux_x86_64._vdpx,2.7.5,3.9,1.38
lantronix.managed_switches,1.1.2,win_amd64,lantronix.managed_switches-1.1.2-win_amd64._vdpx,2.7.5,3.9,1.38
lantronix.mss,1.1.9,linux_x86_64,lantronix.mss-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
lantronix.mss,1.1.9,win_amd64,lantronix.mss-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
lantronix.sdstx,1.1.10,win_amd64,lantronix.sdstx-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
lantronix.sdstx,1.1.10,linux_x86_64,lantronix.sdstx-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
lantronix.slc8000,1.1.4,win_amd64,lantronix.slc8000-1.1.4-win_amd64._vdpx,2.7.5,3.9,1.38
lantronix.slc8000,1.1.4,linux_x86_64,lantronix.slc8000-1.1.4-linux_x86_64._vdpx,2.7.5,3.9,1.38
lantronix.slp,1.1.8,linux_x86_64,lantronix.slp-1.1.8-linux_x86_64._vdpx,2.7.5,3.9,1.38
lantronix.slp,1.1.8,win_amd64,lantronix.slp-1.1.8-win_amd64._vdpx,2.7.5,3.9,1.38
lantronix.uds,1.1.10,linux_x86_64,lantronix.uds-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
lantronix.uds,1.1.10,win_amd64,lantronix.uds-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
lantronix.xpress,1.1.9,win_amd64,lantronix.xpress-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
lantronix.xpress,1.1.9,linux_x86_64,lantronix.xpress-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
loop.am_3440,1.1.8,win_amd64,loop.am_3440-1.1.8-win_amd64._vdpx,2.7.5,3.9,1.38
loop.am_3440,1.1.8,linux_x86_64,loop.am_3440-1.1.8-linux_x86_64._vdpx,2.7.5,3.9,1.38
meinberg.gps,1.1.9,win_amd64,meinberg.gps-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
